WD_1,WS_1,WS_2,WS_3,WS_4,WD_1,WD_2,WD_3,WD_4,TEMP_1,RH_1,BP_1,AD_1
105.0,8.290296808,8.377766448,8.122902215999998,7.301451528000006,105.01600000000005,104.13440000000003,99.7488,101.54879999999997,12.168672000000003,71.03304000000001,977.6236904000003,1.1896383844294791
115.0,8.24020188,8.327118173333334,8.150044760000004,7.446998406666668,114.94399999999996,114.0953333333333,109.61799999999998,112.17333333333339,11.126673333333326,62.245200000000004,978.8777240000007,1.1963562071995204
125.0,8.50199525268817,8.58691463440861,8.456368478494628,7.73186376344086,124.99623655913977,124.44139784946222,120.00967741935482,124.57204301075265,12.045645161290324,56.32032258064513,978.1596763440858,1.1920198990112854
135.0,8.720316663793103,8.808728883620692,8.706923422413796,7.788794318965523,135.65043103448275,135.35172413793111,131.67327586206898,131.39655172413794,11.767883620689652,56.51681034482762,976.3929663793108,1.1910124743137644
145.0,8.846182980079686,8.922486872509959,8.915465968127489,8.136776298804778,144.49282868525904,144.62589641434263,140.71155378486054,139.8561752988048,12.352661354581674,57.23215139442231,976.1057756972108,1.1884752398640555
155.0,8.96563842384106,9.02465948013245,9.00874825165563,8.192840632450336,155.64072847682118,156.3672185430464,152.42847682119216,149.2235099337748,13.11755960264901,58.44215231788074,976.9624413907284,1.1858963832905827
165.0,9.648708060952384,9.696907497142847,9.61983848761905,8.667378440000002,164.8371428571428,165.8451428571429,162.03276190476194,158.5824761904762,14.6751657142857,60.553066666666666,974.8618133333332,1.1759516529711955
175.0,10.115445313725479,10.144671898692827,10.106912862745098,9.154179040849685,175.49215686274493,176.8704248366015,173.13594771241833,159.40516339869274,16.54779084967319,61.59091503267976,972.6103800653593,1.1650333092929617
185.0,10.797894850490193,10.813367231617653,10.796137400735292,10.033836807598052,184.9105392156864,186.4196078431375,182.76531862745134,160.50098039215675,19.494123774509784,57.18656862745103,971.9268337009798,1.1518877936726746
195.0,10.175518310457514,10.181032305555567,10.231528596405223,9.57421651960785,194.50179738562096,195.96797385620917,192.225816993464,177.27401960784314,21.223450980392194,55.83812091503265,972.1480761437908,1.145088464836633
